variable,mean_error,max_error,std_error,mean_value,std_value,rel_error_pct
ts0500002,0.0019236514557318526,0.002917403469713531,0.00078780443518674,0.1116953462515883,0.1423470506555268,1.7222306213178495
ts0030005,0.0018841634185908437,0.004917002607991328,0.0015210006012655974,0.631363940067768,0.12400106949294042,0.29842746774366075
ts0530005,0.0018594641684317617,0.004837101948325984,0.0013175830252040257,0.051573305802626,0.06102455237185043,3.605477949286474
ts0500005,0.001837157304283946,0.0031851592089636865,0.0006432709501077585,0.21200083121558663,0.17725379315706563,0.866580236383939
ts0510006,0.001836107477213118,0.002622943947177575,0.0007325231907461572,0.2348558238034731,0.17534930288995512,0.7818019785404893
ts0540004,0.001833466432530656,0.006522856841371327,0.001934065936176068,0.2870199385853452,0.12853337682800967,0.6387940996599009
ts0400002,0.0018318445442745551,0.003547804803160748,0.0008934355555809342,0.6753492905548496,0.09379430499838548,0.2712440169692869
ts0210022,0.0018287314208818776,0.006307032865939408,0.001870107579407787,0.06049690279542567,0.06725783515936772,3.0228513136711403
ts0670003,0.001816745093553897,0.003821124840680118,0.0012718125280118103,0.09739137018212621,0.03592960684418616,1.8654066475874636
ts0190004,0.0018147734813103722,0.0034369651076487373,0.0011534195347946397,0.09263702350698858,0.06370766270538428,1.959015318722395
ts0610009,0.0018109767241917154,0.005179411417163653,0.0014768672763846504,0.04042530177890725,0.030280359377576227,4.479810031094513
ts0030007,0.0018038646025502515,0.002636950040700692,0.0007735507282367864,0.3050937950021178,0.111964132917692,0.5912491935595511
ts0020005,0.0017956651732477721,0.0038583541903002283,0.001217679951809029,0.43990242481999153,0.13378696401349016,0.40819624351526596
ts0050006,0.0017934117318029101,0.003183032063316771,0.0007592345277542471,0.05669574332909783,0.0676811540652871,3.16322112824735
ts0660013,0.0017924726564818602,0.0046154196032808965,0.00171996204105152,0.02858560991105464,0.02000121789711655,6.270541933718456
ts0650003,0.0017670698642832383,0.003797385240026041,0.001014163113203506,0.619510445785684,0.14163675558789704,0.2852364921857259
ts007a0012,0.0017643331974797633,0.0050280467065347695,0.0015236172597654985,0.06983715057179161,0.022371713010686318,2.526353356393104
ts0580002,0.001760044221196226,0.0039060593525113707,0.001260086903665065,0.11254389559508682,0.08122487164096243,1.563873555193572
ts007a0010,0.001721619018933744,0.004992716159898158,0.001591531585972278,0.062232110334603984,0.0217555861609284,2.7664480758841354
ts0520002,0.0017092527916759484,0.003771851129794973,0.0009734975755112941,0.36149802520118596,0.19462953538900615,0.472824931954937
ts007a0007,0.0017047491411901075,0.007902885426388659,0.002543501927040167,0.06533079203727235,0.04068036017238348,2.6094114092746934
ts0050002,0.0017002173845021978,0.003997694434144217,0.001318895793256231,0.8328747193985598,0.08319600777541701,0.20413843101516738
ts0160003,0.0016994007970887043,0.006378506158313646,0.0018661972879395986,0.09339732634476917,0.08547831899850364,1.8195390206519346
ts0040011,0.001694415935608952,0.003902064886286208,0.0010308214143576807,0.05054414443032614,0.0730637960867972,3.3523486344588593
ts0260006,0.0016854449976191213,0.0051186306141872695,0.0018443863041513507,0.019146828674290555,0.032363582690275484,8.802737133603
ts0030022,0.001677528642227256,0.006793825566837927,0.0019786976035682806,0.04185899512918255,0.05007437168238579,4.00757026548338
ts0160002,0.0016693710214407131,0.003286699669160731,0.0008894772442288478,0.8397249311732317,0.15451638211451574,0.19879974494842392
ts0180002,0.0016664519874811656,0.0030617125316074745,0.0008895091863895631,0.839748639347734,0.15453339962462556,0.19844652428083298
ts0050005,0.0016608548448669414,0.0036326148705347894,0.0010073439574123698,0.059517714951291836,0.0708558745786685,2.790521857611895
ts0020004,0.0016488903598208468,0.003681332020554484,0.0011523660584579975,0.44269881935620503,0.13334875086157738,0.37246323860062386
ts0150002,0.0016421374318168064,0.002949324453214275,0.0007871510630240556,0.8397264506565013,0.15451530597983845,0.19555623507309755
ts0660027,0.0016411611397133298,0.005094558132468716,0.0016911880498002975,0.22160988458280392,0.12248803269137318,0.7405631489781831
ts0030012,0.0016342752882491096,0.0033242737535634087,0.0009199756159821355,0.062071511012282934,0.041329266197642905,2.6328910986647536
ts0040003,0.0016160425935727585,0.003375110646543056,0.0009245137493585534,0.8397342492587887,0.1545156960705886,0.19244690745902013
ts0510004,0.0016121310412956034,0.0026680313097954267,0.001014772602064148,0.22766944620923338,0.16390851563493286,0.7081016219515106
