OA,pca_cluster,ae_cluster,oac_supergroup
E00000700,7,5,5
E00000701,1,1,3
E00000702,7,5,3
E00000703,0,0,5
E00000704,7,5,3
E00000705,0,0,5
E00000706,1,1,5
E00000707,1,1,5
E00000708,1,6,5
E00000709,7,5,3
E00000710,7,5,4
E00000711,7,5,3
E00000712,1,1,5
E00000713,1,1,3
E00000714,1,1,4
E00000715,1,5,4
E00000716,7,5,3
E00000717,7,5,3
E00000718,1,1,4
E00000719,7,5,4
E00000720,1,1,4
E00000721,7,5,3
E00000722,2,6,5
E00000723,1,1,4
E00000724,7,5,4
E00000725,1,1,4
E00000726,1,1,5
E00000727,1,1,4
E00000728,1,1,4
E00000730,1,1,4
E00000732,1,1,4
E00000737,1,5,4
E00000738,7,5,4
E00000739,1,1,4
E00000740,1,1,4
E00000742,7,5,4
E00000743,1,1,4
E00000745,7,5,4
E00000746,7,5,4
E00000747,7,5,4
E00000748,1,1,4
E00000749,7,5,3
E00000750,7,5,3
E00000751,7,5,4
E00000752,1,1,4
E00000754,7,5,4
E00000755,7,5,3
E00000756,7,5,3
E00000757,7,5,3
E00000758,7,5,4
E00000761,7,5,3
E00000763,7,5,4
E00000767,1,1,4
E00000768,1,1,4
E00000769,2,6,4
E00000770,1,1,4
E00000771,7,5,3
E00000772,7,5,4
E00000773,7,5,4
E00000774,7,5,4
E00000775,7,6,3
E00000776,7,5,4
E00000777,2,6,6
E00000778,1,1,4
E00000779,2,6,4
E00000780,2,6,5
E00000781,1,1,4
E00000782,1,1,4
E00000783,7,5,3
E00000785,1,6,5
E00000786,1,1,5
E00000787,2,6,4
E00000788,1,1,4
E00000789,7,5,3
E00000790,7,5,3
E00000791,7,5,3
E00000792,7,5,3
E00000793,2,6,6
E00000794,1,1,4
E00000795,7,6,4
E00000796,1,1,3
E00000797,2,6,4
E00000798,7,6,4
E00000799,2,6,6
E00000800,7,6,4
E00000801,7,5,3
E00000802,2,6,4
E00000803,7,6,3
E00000804,2,6,6
E00000805,2,6,4
E00000806,2,6,5
E00000807,7,5,4
E00000808,7,5,3
E00000809,7,5,4
E00000810,1,6,4
E00000811,0,0,5
E00000812,0,0,5
E00000813,7,5,3
E00000814,2,6,3
E00000815,2,6,4
E00000816,2,6,4
E00000817,0,0,5
E00000818,7,5,3
E00000819,3,2,6
E00000820,0,0,5
E00000821,7,5,3
E00000822,2,6,6
E00000823,7,6,4
E00000824,1,6,4
E00000825,7,5,3
E00000826,2,6,6
E00000827,2,6,4
E00000828,2,6,5
E00000829,2,6,6
E00000830,7,5,4
E00000831,2,6,6
E00000832,0,0,5
E00000833,7,6,6
E00000834,0,0,5
E00000835,5,6,5
E00000836,0,0,5
E00000837,7,5,5
E00000838,7,5,3
E00000839,0,0,5
E00000840,7,5,3
E00000841,0,0,5
E00000842,2,6,4
E00000843,7,5,3
E00000844,0,0,5
E00000845,2,6,4
E00000846,6,7,4
E00000847,0,0,5
E00000848,2,0,5
E00000849,1,1,4
E00000850,5,4,5
E00000851,7,6,4
E00000852,2,0,5
E00000853,7,5,3
E00000854,2,6,5
E00000855,2,6,3
E00000856,2,0,5
E00000857,2,6,6
E00000858,5,4,5
E00000859,7,5,3
E00000860,2,6,6
E00000861,0,0,5
E00000863,0,0,5
E00000864,5,4,5
E00000865,6,7,4
E00000866,2,6,5
E00000867,2,6,4
E00000868,2,6,6
E00000869,2,6,6
E00000870,2,6,6
E00000871,2,6,6
E00000872,7,5,3
E00000873,0,0,5
E00000874,3,2,3
E00000875,2,6,5
E00000876,0,0,5
E00000877,2,6,5
E00000878,7,6,6
E00000880,7,5,4
E00000881,7,5,3
E00000882,1,1,4
E00000883,2,6,3
E00000884,3,2,6
E00000885,7,5,3
E00000886,2,6,3
E00000887,7,5,3
E00000888,7,5,3
E00000889,7,5,3
E00000890,2,6,6
E00000891,7,5,3
E00000892,2,6,6
E00000893,2,6,6
E00000894,7,5,4
E00000895,2,6,5
E00000896,7,5,4
E00000897,3,2,4
E00000898,2,6,6
E00000899,2,6,6
E00000900,2,6,6
E00000901,7,5,3
E00000902,7,5,3
E00000903,7,6,3
E00000904,3,2,4
E00000905,2,6,6
E00000906,2,6,3
E00000907,2,6,5
E00000908,7,5,3
E00000909,2,6,5
E00000910,2,6,6
E00000911,7,5,3
E00000912,7,5,3
E00000913,3,2,4
E00000914,2,6,5
E00000915,7,6,3
E00000916,2,6,3
E00000917,7,5,3
E00000918,7,5,3
E00000919,2,6,6
E00000920,7,6,3
E00000921,1,1,3
E00000922,0,0,5
E00000923,3,5,4
E00000924,1,1,4
E00000925,0,0,5
E00000926,0,0,5
E00000927,0,0,5
E00000928,0,0,5
E00000929,0,0,5
E00000930,0,0,5
E00000931,0,0,5
E00000932,0,6,5
E00000934,0,0,5
E00000935,1,6,5
E00000936,0,0,5
E00000937,7,5,4
E00000938,1,6,4
E00000939,0,0,5
E00000940,1,1,5
E00000941,2,6,5
E00000943,7,5,3
E00000944,1,1,4
E00000945,0,0,5
E00000947,1,6,4
E00000948,0,0,5
E00000949,2,6,5
E00000950,1,6,5
E00000951,1,1,5
E00000952,1,1,5
E00000953,7,5,3
E00000954,0,0,5
E00000955,1,1,4
E00000956,1,1,4
E00000958,7,5,4
E00000959,1,1,4
E00000960,1,1,4
E00000961,7,5,4
E00000962,1,1,4
E00000963,1,1,4
E00000964,7,5,4
E00000965,1,1,4
E00000966,7,5,4
E00000967,1,1,4
E00000968,1,1,4
E00000969,0,6,5
E00000970,2,6,5
E00000971,1,1,5
E00000972,0,0,5
E00000973,7,5,3
E00000974,7,5,3
E00000975,2,6,5
E00000976,7,5,3
E00000977,1,1,4
E00000978,2,6,5
E00000979,0,6,5
E00000980,7,5,3
E00000981,0,0,5
E00000982,0,0,5
E00000983,1,1,5
E00000984,2,6,5
E00000985,2,6,5
E00000986,7,6,3
E00000987,0,6,5
E00000988,2,6,6
E00000990,2,6,5
E00000991,7,5,3
E00000992,7,5,3
E00000993,0,0,5
E00000994,7,5,3
E00000995,7,5,3
E00000996,7,5,3
E00000997,7,5,3
E00000998,7,5,3
E00000999,7,6,5
E00001000,7,5,3
E00001001,7,6,3
E00001002,0,0,5
E00001003,2,6,5
E00001004,2,6,5
E00001005,7,5,3
E00001006,1,6,5
E00001007,0,6,5
E00001008,2,6,5
E00001009,7,5,3
E00001010,2,6,5
E00001011,0,0,5
E00001012,7,5,3
E00001013,7,5,3
E00001014,2,6,5
E00001015,0,0,5
E00001016,7,5,3
E00001017,0,0,5
E00001018,2,6,5
E00001019,2,6,5
E00001020,0,0,5
E00001021,1,5,3
E00001022,2,6,5
E00001023,0,0,5
E00001024,0,0,5
E00001025,0,0,5
E00001026,7,5,3
E00001027,2,6,5
E00001028,2,6,5
E00001029,2,6,6
E00001030,2,6,5
E00001031,0,0,5
E00001032,2,6,6
E00001033,7,5,4
E00001034,7,5,3
E00001035,7,5,3
E00001036,2,6,5
E00001037,2,6,5
E00001038,2,6,5
E00001039,7,5,3
E00001040,2,6,5
E00001041,3,2,3
E00001042,2,6,5
E00001043,0,0,5
E00001044,0,0,5
E00001045,0,0,5
E00001046,0,0,5
E00001047,0,0,5
E00001048,7,5,3
E00001049,0,0,5
E00001050,7,5,3
E00001051,0,0,5
E00001052,2,6,5
E00001053,0,0,5
E00001054,0,0,5
E00001055,1,5,4
E00001056,7,5,4
E00001057,0,0,5
E00001058,7,6,5
E00001059,0,0,5
E00001060,7,5,3
E00001061,1,1,4
E00001062,1,1,4
E00001063,1,6,4
E00001064,2,6,5
E00001065,2,6,5
E00001066,7,5,4
E00001067,7,5,3
E00001068,1,6,5
E00001069,3,2,3
E00001071,7,5,3
E00001072,1,1,4
E00001073,1,1,4
E00001074,1,1,4
E00001075,1,1,4
E00001076,7,5,4
E00001077,1,1,4
